Player,Season,Goals,Penalties,Headers,FreeKicks,LeftFoot,RightFoot,AwayGoals,Cluster
Cristiano Ronaldo,02/03,5,0,1,0,1,1,1,1
Cristiano Ronaldo,03/04,6,0,2,1,0,3,2,1
Cristiano Ronaldo,04/05,9,0,0,0,2,4,6,1
Cristiano Ronaldo,05/06,12,1,1,1,3,5,4,1
Cristiano Ronaldo,06/07,23,5,2,1,0,3,9,1
Cristiano Ronaldo,07/08,42,6,9,5,5,15,15,0
Cristiano Ronaldo,08/09,26,5,6,6,4,4,7,1
Cristiano Ronaldo,09/10,33,4,3,6,6,14,17,0
Cristiano Ronaldo,10/11,53,9,5,5,10,24,19,0
Cristiano Ronaldo,11/12,60,14,7,4,9,24,29,0
Cristiano Ronaldo,13/14,51,10,5,5,5,22,24,0
Cristiano Ronaldo,14/15,61,13,17,2,8,19,28,0
Cristiano Ronaldo,15/16,51,8,9,3,10,19,18,0
Cristiano Ronaldo,16/17,42,7,8,3,6,18,21,0
Cristiano Ronaldo,17/18,44,7,7,1,7,17,18,0
Cristiano Ronaldo,18/19,28,6,9,0,5,5,12,1
Cristiano Ronaldo,19/20,37,14,2,1,6,9,11,0
Cristiano Ronaldo,20/21,36,9,7,0,7,10,21,0
Cristiano Ronaldo,21/22,24,3,3,1,2,14,8,1
Cristiano Ronaldo,22/23,12,4,0,1,3,2,10,1
Cristiano Ronaldo,Dec-13,55,7,9,3,14,21,26,0
Lionel Messi,04/05,1,0,0,0,1,0,0,1
Lionel Messi,05/06,8,0,1,0,6,1,2,1
Lionel Messi,06/07,17,0,0,0,13,2,7,1
Lionel Messi,07/08,16,5,0,0,10,0,5,1
Lionel Messi,08/09,38,4,2,1,22,7,23,2
Lionel Messi,09/10,47,2,3,2,29,10,21,2
Lionel Messi,10/11,53,5,1,1,38,5,22,2
Lionel Messi,11-Dec,73,14,3,3,43,9,25,2
Lionel Messi,13/14,41,8,1,3,22,5,17,2
Lionel Messi,14/15,58,6,6,2,24,16,24,0
Lionel Messi,15/16,41,4,1,7,25,2,14,2
Lionel Messi,16/17,54,9,2,4,33,5,19,2
Lionel Messi,17/18,45,3,0,7,31,3,15,2
Lionel Messi,18/19,51,5,0,8,31,7,20,2
Lionel Messi,19/20,31,5,0,5,18,3,7,2
Lionel Messi,20/21,38,7,2,3,24,1,17,2
Lionel Messi,21/22,14,2,0,0,11,1,5,1
Lionel Messi,22/23,17,0,0,2,12,3,9,1
Lionel Messi,Dec-13,60,5,2,4,43,5,32,2
